group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Difference 8/2,native,,,,1051774.0,ns,6438
Difference 8/2,native,,,,1992225.0,ns,12876
Difference 8/2,native,,,,3885624.0,ns,19314
Difference 8/2,native,,,,4514023.0,ns,25752
Difference 8/2,native,,,,5151237.0,ns,32190
Difference 8/2,native,,,,6608648.0,ns,38628
Difference 8/2,native,,,,7156608.0,ns,45066
Difference 8/2,native,,,,8153751.0,ns,51504
Difference 8/2,native,,,,9265363.0,ns,57942
Difference 8/2,native,,,,10218041.0,ns,64380
Difference 8/2,native,,,,11235777.0,ns,70818
Difference 8/2,native,,,,12192806.0,ns,77256
Difference 8/2,native,,,,13221309.0,ns,83694
Difference 8/2,native,,,,14306982.0,ns,90132
Difference 8/2,native,,,,16107413.0,ns,96570
Difference 8/2,native,,,,16796896.0,ns,103008
Difference 8/2,native,,,,17543094.0,ns,109446
Difference 8/2,native,,,,18495863.0,ns,115884
Difference 8/2,native,,,,19430356.0,ns,122322
Difference 8/2,native,,,,20395890.0,ns,128760
Difference 8/2,native,,,,22743656.0,ns,135198
Difference 8/2,native,,,,22758135.0,ns,141636
Difference 8/2,native,,,,23325922.0,ns,148074
Difference 8/2,native,,,,24311662.0,ns,154512
Difference 8/2,native,,,,26105690.0,ns,160950
Difference 8/2,native,,,,28177986.0,ns,167388
Difference 8/2,native,,,,28536117.0,ns,173826
Difference 8/2,native,,,,29330988.0,ns,180264
Difference 8/2,native,,,,29514733.0,ns,186702
Difference 8/2,native,,,,30349971.0,ns,193140
Difference 8/2,native,,,,32021825.0,ns,199578
Difference 8/2,native,,,,32790776.0,ns,206016
Difference 8/2,native,,,,33509012.0,ns,212454
Difference 8/2,native,,,,35082993.0,ns,218892
Difference 8/2,native,,,,37863484.0,ns,225330
Difference 8/2,native,,,,37534757.0,ns,231768
Difference 8/2,native,,,,39990674.0,ns,238206
Difference 8/2,native,,,,40264889.0,ns,244644
Difference 8/2,native,,,,40491135.0,ns,251082
Difference 8/2,native,,,,42140742.0,ns,257520
Difference 8/2,native,,,,42392549.0,ns,263958
Difference 8/2,native,,,,44059295.0,ns,270396
Difference 8/2,native,,,,44290762.0,ns,276834
Difference 8/2,native,,,,45873577.0,ns,283272
Difference 8/2,native,,,,45885937.0,ns,289710
Difference 8/2,native,,,,47077497.0,ns,296148
Difference 8/2,native,,,,48199662.0,ns,302586
Difference 8/2,native,,,,50068805.0,ns,309024
Difference 8/2,native,,,,51133633.0,ns,315462
Difference 8/2,native,,,,51427173.0,ns,321900
Difference 8/2,native,,,,53158457.0,ns,328338
Difference 8/2,native,,,,53481249.0,ns,334776
Difference 8/2,native,,,,54691578.0,ns,341214
Difference 8/2,native,,,,56470109.0,ns,347652
Difference 8/2,native,,,,57581346.0,ns,354090
Difference 8/2,native,,,,57851830.0,ns,360528
Difference 8/2,native,,,,57758628.0,ns,366966
Difference 8/2,native,,,,60593754.0,ns,373404
Difference 8/2,native,,,,60127834.0,ns,379842
Difference 8/2,native,,,,60889885.0,ns,386280
Difference 8/2,native,,,,64278105.0,ns,392718
Difference 8/2,native,,,,64515594.0,ns,399156
Difference 8/2,native,,,,64389592.0,ns,405594
Difference 8/2,native,,,,64968002.0,ns,412032
Difference 8/2,native,,,,65957413.0,ns,418470
Difference 8/2,native,,,,68558564.0,ns,424908
Difference 8/2,native,,,,68943941.0,ns,431346
Difference 8/2,native,,,,70027201.0,ns,437784
Difference 8/2,native,,,,70552280.0,ns,444222
Difference 8/2,native,,,,71851968.0,ns,450660
Difference 8/2,native,,,,72506852.0,ns,457098
Difference 8/2,native,,,,72986913.0,ns,463536
Difference 8/2,native,,,,75818792.0,ns,469974
Difference 8/2,native,,,,75224154.0,ns,476412
Difference 8/2,native,,,,76724100.0,ns,482850
Difference 8/2,native,,,,77652064.0,ns,489288
Difference 8/2,native,,,,78692568.0,ns,495726
Difference 8/2,native,,,,79624641.0,ns,502164
Difference 8/2,native,,,,81638417.0,ns,508602
Difference 8/2,native,,,,81954274.0,ns,515040
Difference 8/2,native,,,,82717429.0,ns,521478
Difference 8/2,native,,,,84556992.0,ns,527916
Difference 8/2,native,,,,86324332.0,ns,534354
Difference 8/2,native,,,,88998624.0,ns,540792
Difference 8/2,native,,,,89801638.0,ns,547230
Difference 8/2,native,,,,97766585.0,ns,553668
Difference 8/2,native,,,,91628411.0,ns,560106
Difference 8/2,native,,,,91180609.0,ns,566544
Difference 8/2,native,,,,90760133.0,ns,572982
Difference 8/2,native,,,,92088272.0,ns,579420
Difference 8/2,native,,,,94261821.0,ns,585858
Difference 8/2,native,,,,94593823.0,ns,592296
Difference 8/2,native,,,,94287736.0,ns,598734
Difference 8/2,native,,,,96846652.0,ns,605172
Difference 8/2,native,,,,96960245.0,ns,611610
Difference 8/2,native,,,,98851314.0,ns,618048
Difference 8/2,native,,,,98971455.0,ns,624486
Difference 8/2,native,,,,99881442.0,ns,630924
Difference 8/2,native,,,,103452605.0,ns,637362
Difference 8/2,native,,,,104379288.0,ns,643800
